"Codice.Comune","Codice.struttura"
47002,"00072D"
47014,"00902D"
100005,"11002D"
48014,"12042D"
48010,"12192D"
48041,"21012DSC"
48024,"22062D"
100003,"23012D"
48005,"24092D"
48006,"24122D"
100002,"25012D"
48052,"32022D"
48001,"34032D"
48043,"F3012D"
46007,"00312D"
46017,"00912D"
46009,"02002D"
46005,"10012DCA"
46033,"10222D"
50026,"111A2D"
50008,"112A2D"
45001,"12031D"
49007,"13222X"
50029,"210E2D"
50001,"212A2D"
45010,"22011D"
49009,"22112Y"
45003,"22261D"
49012,"31022Y"
50027,"312D2D"
49014,"42002X"
51004,"10012D"
52012,"10512D"
53009,"11022D"
52022,"11212D"
52028,"12112D"
52015,"20312D"
52033,"20812D"
53018,"21242D"
52011,"21912D"
51034,"24912D"
51012,"30512D"
53004,"31062D"
52001,"32012D"
51002,"40612D"
53011,"41262D"
52032,"42112D"
51033,"57312D"
