cod_comune,parti_residenti
45001,59
45002,5
45003,273
45004,3
45005,4
45006,10
45007,23
45008,27
45009,16
45010,321
45011,42
45012,14
45013,6
45014,31
45015,4
45016,23
45017,5
46001,113
46002,25
46003,48
46004,44
46005,152
46006,6
46007,255
46008,1
46009,28
46010,12
46011,37
46013,23
46014,2
46015,19
46017,504
46018,101
46019,6
46020,5
46021,25
46022,14
46023,4
46024,93
46025,10
46026,49
46027,7
46028,52
46030,16
46031,1
46033,294
46034,6
46035,6
46036,5
46037,3
47002,124
47003,33
47005,40
47006,38
47007,11
47009,121
47010,60
47011,126
47012,105
47013,38
47014,464
47016,66
47017,162
47018,2
47020,100
47021,38
47022,31
47023,4
47024,26
48001,99
48002,72
48004,102
48005,103
48006,286
48008,38
48010,101
48011,64
48012,82
48013,24
48014,286
48015,71
48017,2180
48018,19
48019,135
48020,29
48021,62
48022,83
48024,131
48025,12
48026,5
48027,22
48028,96
48030,80
48031,2
48032,44
48033,111
48035,86
48036,43
48037,34
48038,86
48039,2
48041,285
48043,307
48044,114
48046,26
48049,47
48050,82
48052,150
48053,66
48054,76
49001,25
49002,60
49003,19
49004,20
49005,1
49006,36
49007,151
49008,105
49009,805
49010,4
49011,4
49012,150
49013,18
49014,67
49017,143
49018,22
49019,1
49020,12
49021,7
50001,63
50002,29
50003,29
50004,85
50005,40
50006,6
50008,267
50009,101
50010,13
50011,10
50012,6
50014,22
50015,2
50016,3
50019,8
50020,13
50021,8
50022,84
50023,3
50024,21
50025,34
50026,540
50027,21
50028,112
50029,211
50030,9
50031,175
50032,183
50033,123
50034,7
50035,96
50036,20
50037,61
50038,53
50039,39
50040,63
50041,31
51001,16
51002,589
51004,62
51005,69
51006,39
51007,6
51008,8
51010,12
51011,15
51012,70
51013,69
51014,3
51015,10
51016,43
51017,99
51018,43
51020,20
51021,15
51022,24
51023,1
51024,6
51025,58
51026,162
51027,3
51030,8
51031,30
51033,83
51034,56
51037,37
51038,7
51039,62
51040,61
51041,18
51042,22
52001,30
52002,38
52003,18
52004,22
52005,16
52006,47
52007,9
52008,7
52009,31
52010,10
52011,51
52012,146
52013,13
52015,67
52016,65
52017,66
52018,6
52019,19
52020,21
52021,12
52022,172
52023,9
52024,4
52025,4
52026,36
52027,5
52028,44
52030,24
52031,19
52032,255
52033,69
52034,77
52035,24
52036,3
52037,22
53001,22
53002,9
53003,8
53004,20
53005,4
53006,35
53007,18
53008,18
53009,105
53010,52
53011,405
53012,2
53013,12
53014,28
53015,42
53016,54
53017,5
53018,70
53019,12
53020,3
53021,45
53022,5
53023,13
53024,20
53025,1
53026,6
53027,10
53028,4
100001,13
100002,81
100003,114
100004,56
100005,1102
100006,54
100007,37
(vuoto),
Totale complessivo,20177
